Product Name,Code,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,,
Brother,CBRO-LC75K-PT,MFC J280W,MFC J425W,MFC J430W,MFC J435W,MFC J625DW,MFC J825DW,MFC J835DW,MFC J5910D,,,,,,
Brother,CBRO-LC75M,MFC J280W,MFC J425W,MFC J430W,MFC J435W,MFC J625DW,MFC J825DW,MFC J835DW,MFC J5910D,,,,,,
Brother,CBRO-LC75M-PT,MFC J280W,MFC J425W,MFC J430W,MFC J435W,MFC J625DW,MFC J825DW,MFC J835DW,MFC J5910D,,,,,,
Brother,CBRO-LC75Y,MFC J280W,MFC J425W,MFC J430W,MFC J435W,MFC J625DW,MFC J825DW,MFC J835DW,MFC J5910D,,,,,,
Brother,CBRO-LC75Y-PT,MFC J280W,MFC J425W,MFC J430W,MFC J435W,MFC J625DW,MFC J825DW,MFC J835DW,MFC J5910D,,,,,,
Brother,CBRO-LC79C,MFC J5910DW,MFC J6510DW,MFC J6710DW,MFC J6910DW,,,,,,,,,,
Brother,CBRO-LC79C-PT,MFC J5910DW,MFC J6510DW,MFC J6710DW,MFC J6910DW,,,,,,,,,,
Brother,CBRO-LC79K,MFC J5910DW,MFC J6510DW,MFC J6710DW,MFC J6910DW,,,,,,,,,,
Brother,CBRO-LC79K-PT,MFC J5910DW,MFC J6510DW,MFC J6710DW,MFC J6910DW,,,,,,,,,,
Brother,CBRO-LC79M,MFC J5910DW,MFC J6510DW,MFC J6710DW,MFC J6910DW,,,,,,,,,,
Brother,CBRO-LC79M-PT,MFC J5910DW,MFC J6510DW,MFC J6710DW,MFC J6910DW,,,,,,,,,,
Brother,CBRO-LC79Y,MFC J5910DW,MFC J6510DW,MFC J6710DW,MFC J6910DW,,,,,,,,,,
Brother,CBRO-LC79Y-PT,MFC J5910DW,MFC J6510DW,MFC J6710DW,MFC J6910DW,,,,,,,,,,
Brother,CBRO-TN1060,DCP-1512,DCP-1510,DCP-1612W,HL-1110,HL-1112A,HL-1212W,MFC-1810,MFC-1815,,,,,,
Brother,CBRO-TN1060-PT,DCP-1512,DCP-1510,DCP-1612W,HL-1110,HL-1112A,HL-1212W,MFC-1810,MFC-1815,,,,,,
Brother,CBRO-TN1060J-PT,DCP-1512,DCP-1510,DCP-1612W,HL-1110,HL-1112A,HL-1212W,MFC-1810,MFC-1815,,,,,,
Brother,CBRO-TN115BK,HL4040CN,DCP9040CN,DCP9045CDN,HL4040CDN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,M,,,,,
Brother,CBRO-TN115BK-R,DCP9040CN,DCP9045CDN,HL4040CDN,HL4040CN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,M,,,,,
Brother,CBRO-TN115C,HL4040CN,HL4040CDN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,MFC9840CDW,,,,,,,
Brother,CBRO-TN115C-PT,HL4040CN,HL4040CDN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,MFC9840CDW,,,,,,,
Brother,CBRO-TN115C-R,DCP9040CN,DCP9045CDN,HL4040CDN,HL4040CN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,M,,,,,
Brother,CBRO-TN115K-PT,HL4040CN,DCP9040CN,DCP9045CDN,HL4040CDN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,M,,,,,
Brother,CBRO-TN115M,HL4040CN,HL4040CDN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,MFC9840CDW,,,,,,,
Brother,CBRO-TN115M-PT,HL4040CN,HL4040CDN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,MFC9840CDW,,,,,,,
Brother,CBRO-TN115M-R,DCP9040CN,DCP9045CDN,HL4040CDN,HL4040CN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,M,,,,,
Brother,CBRO-TN115Y,HL4040CN,HL4040CDN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,MFC9840CDW,,,,,,,
Brother,CBRO-TN115Y-PT,HL4040CN,HL4040CDN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,MFC9840CDW,,,,,,,
Brother,CBRO-TN115Y-R,DCP9040CN,DCP9045CDN,HL4040CDN,HL4040CN,HL4050CNW,HL4070CDW,MFC9440CN,MFC9450CND,M,,,,,
Brother,CBRO-TN1700,HL 8050N ,,,,,,,,,,,,,
Brother,CBRO-TN210BK,MFC-9010CN,HL-3040CN,HL-3045CN,HL-3070CW,HL-3075CW,MFC-9120CW,MFC-9125CN,MFC-9320CW,,,,,,
Brother,CBRO-TN210BK-R,HL3040,HL-3040CN,HL-3045CN,HL-3070CW,HL-3075CW,HL3045,HL3070,HL3075,MFC-9010CN,MF,,,,
Brother,CBRO-TN210C,HL-3040CN,HL-3045CN,HL-3070CW,HL-3075CW,MFC-9010CN,MFC-9120CW,MFC-9125CN,MFC-9320CW,,,,,,
Brother,CBRO-TN210C-PT,HL-3040CN,HL-3045CN,HL-3070CW,HL-3075CW,MFC-9010CN,MFC-9120CW,MFC-9125CN,MFC-9320CW,,,,,,
Brother,CBRO-TN210C-R,HL3040,HL-3040CN,HL-3045CN,HL-3070CW,HL-3075CW,HL3045,HL3070,HL3075,MFC-9010CN,MF,,,,
Brother,CBRO-TN210K-PT,MFC-9010CN,HL-3040CN,HL-3045CN,HL-3070CW,HL-3075CW,MFC-9120CW,MFC-9125CN,MFC-9320CW,,,,,,
Brother,CBRO-TN210M,MFC-9010CN,HL-3040CN,HL-3045CN,HL-3070CW,HL-3075CW,MFC-9120CW,MFC-9125CN,MFC-9320CW,,,,,,
